f_wb	m_wb	f_go	m_go	f_re	m_re	f_tx	m_tx	f_dg	m_dg	f_hd	m_hd	f_ac	m_ac
FBgn0148696	0.173128558301934	2.32681356736544	0.377030356361213	0	0	0	1.93538970635939	2.98965006568845	0	0.521652892794374	2.42772306529043	3.1841125948443	0.871704183083621	0
FBgn0148703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148704	1.58364364421048	0.730786629200328	0	0	0	0	0	0	6.88311174727861	8.26273417360355	0	0	0	0
FBgn0148706	0	3.2450877758306	0	41.7369477852274	0	0	0	0	0	0	0	0	0	0
FBgn0148709	0	0.797643473738132	0	0	0	0	0	0	0	0	1.66309642525959	0	1.64184146974477	0
FBgn0148731	0	0	0	0	0	0	0	0	0	0	0	1.83558542495699	0	0
FBgn0148737	0.173128558301934	3.20163572025973	0	0	0.381678409941313	6.57198567866614	0.472090683033909	2.19295323387943	0	0	16.927139884434	15.7305580844153	0	0
FBgn0148747	0	0	0	0	0	0	0	0	0	1.04330578558875	0	0	0	0
FBgn0148760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148761	0	0.515031544975769	0	1.45954051472294	0	75.5778353046606	0.872326513888854	2.88172932372859	0	1.01540174855327	3.51934430145989	4.87683943211689	0	0
FBgn0148762	0	1.89456340822747	0	0	0	0	0	0	0	0	3.82369547930701	3.00246147928251	0	0
FBgn0148763	0.52112200434298	11.126914099126	0	3.63309206636088	1.08597948196027	0	3.7582794547308	4.75690405723874	0	0	31.4591201850187	40.469148300942	2.34124504587974	0.542793021856492
FBgn0148774	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148785	9.25359289301914	4.16558195636231	13.3490348425878	2.23658843342382	2.07075737897478	2.34011389985045	2.69521626226027	2.19295323387943	5.19867768719526	4.77921707425924	1.5260877976792	2.80970193509637	4.48513864832571	7.04851250724781
FBgn0148787	0.395910911052621	8.44275395118583	0	0	1.49111843583379	1.50574824897641	3.7582794547308	6.27608805375243	0	0	0.277182737543265	4.34664076866268	2.55424034067533	2.71396510928246
FBgn0148793	84.9364457755727	89.4976671305266	91.8765104723273	133.178453591836	57.5106682568309	55.1639753515229	131.947294950092	153.237237066729	48.6229628336825	53.9087084840221	61.2585766582695	60.4503780237076	41.170278520859	47.8123566213336
FBgn0148797	0	0.947281704113737	0	10.4888742521961	0	0	0	0	0	0	0	0	0	0
FBgn0148821	0	3.8870927529039	0	0	0	0	0	0	1.41277805214621	0	0.695160878638618	0.42650788321576	0	0
FBgn0148828	0.445564705501373	0	0	0	0	0	0	0	0	0	0	0.930976101754861	0	0
FBgn0148831	0.867379120946848	10.7879107485002	0	0	0	0.788438694440681	0	0	27.9760151038411	19.1146891395787	2.13026513136108	0.443917846685171	2.74173028215846	0
FBgn0148838	0.865642791509672	6.24743410082945	0	0	28.4138467282617	38.9690808565006	0	0	3.02132310964224	4.96182747099061	1.0418093775741	1.96281038314445	8.30091274319567	11.1553341219558
FBgn0148842	2.08275168793474	2.6412745787278	0.125676785453738	0	1.33086110302436	1.30238104750111	5.49020207937979	0.883626995775144	14.6984504399918	2.60826446397187	13.4061608088966	13.6032525759239	5.15655538440567	4.67413210918692
FBgn0148846	9.36866888401603	13.9253323681484	13.9095342900237	14.5323682654435	3.66307739975434	0	13.3313555470885	13.9738988763198	4.05157805261915	4.34127629257129	43.3672337475185	53.9004021588415	10.912392150565	10.0106677424456
